ticker,announcement_date,announcement_time,timing_class,fiscal_year,fiscal_quarter,eps_actual,eps_estimate,eps_surprise,eps_surprise_pct,revenue_actual,revenue_estimate,revenue_surprise,revenue_surprise_pct,source,event_id,year,sue,pre_ret_5d,pre_ret_10d,pre_ret_21d,pre_ret_63d,pre_vol_10d,pre_vol_21d,pre_vol_63d,pre_volume_zscore,pre_drawdown_63d,pre_market_ret_21d,market_beta,pre_vix,"CAR[-5,+5]","CAR[-2,+2]","CAR[-1,+1]","CAR[0,+1]","CAR[0,+5]","CAR[0,+20]","CAR[+1,+5]","CAR[+1,+20]",alpha,beta,event_t0_date,signal,composite_score,composite_signal
JPM,2016-01-14,,BMO,,,1.32,1.26,0.06000000000000005,0.04761904761904766,,,,,yfinance,d36c876a545f,2016,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12768953162062055,0
BAC,2016-01-19,,BMO,,,0.28,0.27,0.010000000000000009,0.03703703703703707,,,,,yfinance,8f49927645e5,2016,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12955189169175793,0
AAPL,2016-01-26,,AMC,,,0.82,0.81,0.009999999999999898,0.012345679012345552,,,,,yfinance,176f1ec2401f,2016,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.1338973985244118,0
META,2016-01-27,,AMC,,,0.54,0.42,0.12000000000000005,0.28571428571428586,,,,,yfinance,d6f4c9bcddf4,2016,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.08578643002002974,0
AMZN,2016-01-28,,AMC,,,0.05,0.08,-0.03,-0.375,,,,,yfinance,29d8aef9cb16,2016,-1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.3019010858638195,0
MSFT,2016-01-28,,AMC,,,0.78,0.71,0.07000000000000006,0.09859154929577474,,,,,yfinance,efe5de317b70,2016,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.1187187267709166,0
CVX,2016-01-29,,BMO,,,0.27,0.51,-0.24,-0.47058823529411764,,,,,yfinance,618b8e8b398c,2016,-1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.318723948712292,0
GOOGL,2016-02-01,,AMC,,,0.43,0.4,0.02999999999999997,0.07499999999999993,,,,,yfinance,aced6513e9cc,2016,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12287067493655263,0
XOM,2016-02-02,,BMO,,,0.67,0.64,0.030000000000000027,0.04687500000000004,,,,,yfinance,8672e408b3ae,2016,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.1278204788131224,0
NVDA,2016-02-17,,AMC,,,0.01,0.01,0.0,0.0,,,,,yfinance,bc6a72387789,2016,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.18598692639181386,0
