gross_return,transaction_cost,net_return,turnover,long_exposure,short_exposure,gross_exposure,net_exposure,benchmark_return,cumulative_gross,cumulative_net,cumulative_benchmark
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001691355739052769,0.0,0.0,0.001691355739052769
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012614189900842843,0.0,0.0,-0.010944169244272328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02399157075113889,0.0,0.0,-0.034673172184674805
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010976577424965939,0.0,0.0,-0.04526915685058652
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009900085619998222,0.0,0.0,-0.044323965141463306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008068310066281281,0.0,0.0,-0.036613274569310406
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024940626560566947,0.0,0.0,-0.06064074312168466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01641683426715268,0.0,0.0,-0.04521943788419769
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021466134915907764,0.0,0.0,-0.0657148862456618
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013311325448583933,0.0,0.0,-0.06447122892456669
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01281507866317233,0.0,0.0,-0.07646010371755929
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00560198534400036,0.0,0.0,-0.07128644675398543
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020515302270975866,0.0,0.0,-0.052233607485991373
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01511654848954247,0.0,0.0,-0.06656056411518818
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013643133483909997,0.0,0.0,-0.05382552529226603
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010883239214735552,0.0,0.0,-0.06412296843938703
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005209141030690478,0.0,0.0,-0.05924785299460378
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024377349666716785,0.0,0.0,-0.03631480895733863
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036138407896757485,0.0,0.0,-0.03666306944251829
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01802215514781047,0.0,0.0,-0.05402447706464075
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00599494829456404,0.0,0.0,-0.04835340271672006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015682333872031329,0.0,0.0,-0.04686099875004213
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01905015156054557,0.0,0.0,-0.06501844118212086
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013461020592586581,0.0,0.0,-0.07760424719905701
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3901989724103316e-05,0.0,0.0,-0.07755452823266795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008627967946913673,0.0,0.0,-0.07835041122898634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013008061782981306,0.0,0.0,-0.09033928602197905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020616888657319254,0.0,0.0,-0.07158491236595665
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016878282237962283,0.0,0.0,-0.05591486048288674
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016334735606784,0.0,0.0,-0.04049347933858094
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00409585506492427,0.0,0.0,-0.044423478981059916
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046851132076819457,0.0,0.0,-0.04487117739901758
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01447916030883789,0.0,0.0,-0.031041714060986325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01262958964213523,0.0,0.0,-0.043279259592742814
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004575653028860094,0.0,0.0,-0.038901637439125114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012111782478534394,0.0,0.0,-0.02726102313131218
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002301303895330009,0.0,0.0,-0.029499591127919444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007842528105064694,0.0,0.0,-0.03711076786047551
